Company,Inches,Cpu,Ram,Gpu,OpSys,SSD,Price
Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,499

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,769

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

Alurin,15.6.11,amd ryzen 5 5500u,8gb,integrated graphics,Windows,500gb ssd,509.89

PcCom,15.6.11,intel core i7-13700h,16gb,rtx 3050,Windows,1tb ssd,1599.77

Asus,15.6,amd ryzen 7 7730u,16gb,integrated graphics,No Os/ Linux,512gb ssd,549

Asus,16,intel core i7-13650hx,32gb,rtx 4070,No Os/ Linux,1tb ssd,1599

Lenovo,15.6,intel core i5-12450h,16 gb,integrated graphics,No Os/ Linux,1tb ssd,529

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,1tb ssd,729

Lenovo,15.6,amd ryzen 7 5825u,16gb,integrated graphics,No Os/ Linux,512gb ssd,559

MSI,15.6,intel core i9-13900h,32gb,rtx 4070,No Os/ Linux,1tb ssd,2299

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

HP,15.6,amd ryzen 5 7520u,8gb,integrated graphics,No Os/ Linux,512gb ssd,469

HP,16.1,amd ryzen 7 7840hs,32gb,rtx 4060,No Os/ Linux,1tb ssd,1399

HP,15.6,amd ryzen 5 5500u,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Asus,17.3,intel core i7-12700h,32gb,rtx 4060,No Os/ Linux,1tb ssd,1299

HP,15.6,amd ryzen 3 7320u,8gb,integrated graphics,No Os/ Linux,256gb ssd,399

MSI,15.6,amd ryzen 7 7730u,16gb,integrated graphics,No Os/ Linux,512gb ssd,589

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,499

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,769

Acer,15.6,intel core i5-1135g7,16gb,integrated graphics,No Os/ Linux,512gb ssd,418.3

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Lenovo,15.6,intel core i5-12450h,16 gb,rtx 3050,No Os/ Linux,512gb ssd,659

Asus,15.6,amd ryzen 7 7735u,32gb,integrated graphics,No Os/ Linux,1tb ssd,1499

Alurin,15.6,intel core i5-1155g7,16gb,integrated graphics,No Os/ Linux,500gb ssd,529.9

MSI,15.6,intel core i5-12450h,16gb,rtx 4060,No Os/ Linux,512gb ssd,849

Asus,15.6,amd ryzen 5 7520u,16gb,radeon 610m,No Os/ Linux,512gb ssd,499

Alurin,14,intel core i3-10110u,8gb,integrated graphics,No Os/ Linux,512gb ssd,385

HP,15.6,intel core i3-1115g4,8gb,integrated graphics,No Os/ Linux,256gb ssd,399

Asus,15.6,intel core i3-1115g4,8gb,integrated graphics,No Os/ Linux,256gb ssd,443.99

Asus,15.6,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,499

Alurin,14.11,intel core i5-1155g7,8gb,integrated graphics,Windows,500gb ssd,539.9

MSI,16,intel core i7-13700h,32gb,rtx 4050,No Os/ Linux,1tb ssd,1368.99

Lenovo,15.6,intel core i3-1215u,8 gb,integrated graphics,No Os/ Linux,256gb ssd,351.99

Dell,15.6,intel core i5-1135g7,8 gb,integrated graphics,No Os/ Linux,256gb ssd,628.99

MSI,17,intel core i7-13700hx,32gb,rtx 4060,No Os/ Linux,1tb ssd,2299

Apple,14,m3 pro 12 n cleos,18gb,gpu 18 n cleos,MacOs,1tb ssd,2859

Dell,15.6,intel core i5-1135g7,8 gb,integrated graphics,No Os/ Linux,512gb ssd,538.99

MSI,15.6,intel core i7-13620h,32gb,integrated graphics,No Os/ Linux,1tb ssd,839

MSI,17.3,intel core i9-13900h,32gb,rtx 4090,No Os/ Linux,2tb ssd,3199

Dell,15.6,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,649

Asus,16,intel core i9-13900h,32gb,rtx 4070,No Os/ Linux,1tb ssd,2699

HP,16.1,intel core i7-13700hx,32gb,rtx4070,No Os/ Linux,1tbssd,2499

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,499

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,769

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

Alurin,15.6.11,amd ryzen 5 5500u,8gb,integrated graphics,Windows,500gb ssd,509.89

PcCom,15.6.11,intel core i7-13700h,16gb,rtx 3050,Windows,1tb ssd,1599.77

Asus,15.6,amd ryzen 7 7730u,16gb,integrated graphics,No Os/ Linux,512gb ssd,549

Asus,16,intel core i7-13650hx,32gb,rtx 4070,No Os/ Linux,1tb ssd,1599

Lenovo,15.6,intel core i5-12450h,16 gb,integrated graphics,No Os/ Linux,1tb ssd,599

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,1tb ssd,729

Lenovo,15.6,amd ryzen 7 5825u,16gb,integrated graphics,No Os/ Linux,512gb ssd,559

MSI,15.6,intel core i9-13900h,32gb,rtx 4070,No Os/ Linux,1tb ssd,2299

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

HP,15.6,amd ryzen 5 7520u,8gb,integrated graphics,No Os/ Linux,512gb ssd,469

HP,16.1,amd ryzen 7 7840hs,32gb,rtx 4060,No Os/ Linux,1tb ssd,1199

HP,15.6,amd ryzen 5 5500u,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Asus,17.3,intel core i7-12700h,32gb,rtx 4060,No Os/ Linux,1tb ssd,1299

HP,15.6,amd ryzen 3 7320u,8gb,integrated graphics,No Os/ Linux,256gb ssd,399

MSI,15.6,amd ryzen 7 7730u,16gb,integrated graphics,No Os/ Linux,512gb ssd,589

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,499

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,769

Acer,15.6,intel core i5-1135g7,16gb,integrated graphics,No Os/ Linux,512gb ssd,418.3

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Lenovo,15.6,intel core i5-12450h,16 gb,rtx 3050,No Os/ Linux,512gb ssd,659

Asus,15.6,amd ryzen 7 7735u,32gb,integrated graphics,No Os/ Linux,1tb ssd,1499

Alurin,15.6,intel core i5-1155g7,16gb,integrated graphics,No Os/ Linux,500gb ssd,529.9

MSI,15.6,intel core i5-12450h,16gb,rtx 4060,No Os/ Linux,512gb ssd,849

Asus,15.6,amd ryzen 5 7520u,16gb,radeon 610m,No Os/ Linux,512gb ssd,499

Alurin,14,intel core i3-10110u,8gb,integrated graphics,No Os/ Linux,512gb ssd,385

HP,15.6,intel core i3-1115g4,8gb,integrated graphics,No Os/ Linux,256gb ssd,399

Asus,15.6,intel core i3-1115g4,8gb,integrated graphics,No Os/ Linux,256gb ssd,443.99

